
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


//Marker 0
<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		-1,		1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		-1,		1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		-1,		5	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		-1,		5	// Sellvalue -1 means it can not be selled
		AK74_WoodBttstck,		*,		150,	-1
		AK_PlasticBttstck,		*,		100,	-1
		AK_WoodBttstck,			*,		150,	-1
		AK_FoldingBttstck,		*,		250,	-1
		M4_OEBttstck,			*,		150,	-1
		M4_CQBBttstck,			*,		150,	-1
		M4_MPBttstck,			*,		150,	-1
	
	<Category> Optics
		M4_CarryHandleOptic,	*,		-1,		-1
		PistolOptic,			*,		-1,		-1
		BUISOptic,				*,		-1,		-1
		FNP45_MRDSOptic,		*,		-1,		-1
		ACOGOptic,				*,		-1,		-1
		ACOGOptic_6x,			*,		-1,		-1
		M68Optic,				*,		-1,		-1
		M4_T3NRDSOptic,			*,		-1,		-1
		KobraOptic,				*,		-1,		-1
		KashtanOptic,			*,		-1,		-1
		PUScopeOptic,			*,		-1,		-1
		HuntingOptic,			*,		-1,		-1
		PSO1Optic,				*,		-1,		-1	
		PSO11Optic,				*,		-1,		-1
		KazuarOptic,			*,		-1,		-1
		StarlightOptic,			*,		-1,		-1
	
	<Category> Suppressors
		PistolSuppressor,		*,		-1,		-1
		AK_Suppressor,			*,		-1,		-1
		M4_Suppressor,			*,		-1,		-1
		
	<Category> Compensators
		Mosin_Compensator,		*,		150,	-1
		MP5_Compensator,		*,		200,	-1

	<Category> Bayonets
		Mosin_Bayonet,			*,		100,	-1
		M9A1_Bayonet,			*,		150,	-1
		AK_Bayonet,				*,		150,	-1
		SKS_Bayonet,			*,		100,	-1
		
	<Category> Flashlights
		Universallight,			*,		-1,		-1
	
	
//Marker 4
<Trader> Clothing Trader
	<Category> Glasses
		SportGlasses_Orange,	*,		200,	-1
		SportGlasses_Blue,		*,		200,	-1
		SportGlasses_Black,		*,		200,	-1
		SportGlasses_Green,		*,		200,	-1
		ThinFramesGlasses,		*,		200,	-1
		ThickFramesGlasses,		*,		200,	-1
		DesignerGlasses,		*,		300,	-1
		AviatorGlasses,			*,		400,	-1
		TacticalGoggles,		*,		600,	-1
		NVGHeadstrap,			*,		2000,	-1
		
	<Category> Armbands
		Armband_Pink,			*,		50,		-1
		Armband_Yellow,			*,		50,		-1
		Armband_Orange,			*,		50,		-1
		Armband_Red,			*,		50,		-1
		Armband_Blue,			*,		50,		-1
		Armband_White,			*,		50,		-1
		Armband_Black,			*,		50,		-1
		Armband_Green,			*,		50,		-1
		Armband_Crook,			*,		50,		-1
		Armband_Rex,			*,		50,		-1
		Armband_Zagorky,		*,		50,		-1
		
	<Category> Gloves
		SurgicalGloves_LightBlue,*,		50,		-1
		SurgicalGloves_Blue,	*,		50,		-1
		SurgicalGloves_White,	*,		50,		-1
		SurgicalGloves_Green,	*,		50,		-1
		WorkingGloves_Yellow,	*,		250,	-1
		WorkingGloves_Beige,	*,		300,	-1
		WorkingGloves_Brown,	*,		300,	-1
		WorkingGloves_Black,	*,		300,	-1
		TacticalGloves_Beige,	*,		350,	-1
		TacticalGloves_Black,	*,		350,	-1
		TacticalGloves_Green,	*,		350,	-1
		OMNOGloves_Gray,		*,		400,	-1
		OMNOGloves_Brown,		*,		400,	-1
		NBCGlovesGray,			*,		650,	-1
		NBCGlovesYellow,		*,		650,	-1
		WoolGlovesFingerless_Black,	*,		250,	-1
		WoolGlovesFingerless_Green,	*,		250,	-1
		WoolGlovesFingerless_Tan,	*,		250,	-1
		WoolGlovesFingerless_White,	*,		250,	-1
		WoolGloves_Black,		*,		250,		-1
		WoolGloves_Green,		*,		250,		-1
		WoolGloves_Tan,			*,		250,		-1
		WoolGloves_White,		*,		250,		-1
		WoolGloves_ChristmasBlue,		*,		250,		-1
		WoolGloves_ChristmasRed,		*,		250,		-1
		PaddedGloves_Beige,		*,		250,		-1
		PaddedGloves_Brown,		*,		250,		-1
		PaddedGloves_Threat,		*,		250,		-1
		
	<Category> Hats & Caps
		MedicalScrubsHat_Blue,	*,		20,		-1
		MedicalScrubsHat_White,	*,		20,		-1
		MedicalScrubsHat_Green,	*,		20,		-1
		Bandana_Polkapattern,	*,		60,		-1
		Bandana_Redpattern,		*,		60,		-1
		Bandana_Blackpattern,	*,		60,		-1
		Bandana_Greenpattern,	*,		80,		-1
		Bandana_Camopattern,	*,		100,		-1
		BaseballCap_CMMG_Pink,	*,		120,		-1
		BaseballCap_Pink,		*,		120,		-1
		BaseballCap_Red,		*,		120,		-1
		BaseballCap_Blue,		*,		120,		-1
		BaseballCap_Beige,		*,		120,		-1
		BaseballCap_CMMG_Black,	*,		120,		-1
		BaseballCap_Black,		*,		130,		-1
		BaseballCap_Olive,		*,		140,		-1
		BaseballCap_Camo,		*,		160,		-1
		PrisonerCap,			*,		160,		-1
		BoonieHat_Orange,		*,		160,		-1
		BoonieHat_Red,			*,		160,		-1
		BoonieHat_Blue,			*,		160,		-1
		BoonieHat_NavyBlue,		*,		160,		-1
		BoonieHat_Black,		*,		170,		-1
		BoonieHat_Tan,			*,		180,		-1
		BoonieHat_Olive,		*,		180,		-1
		BoonieHat_DPM,			*,		200,		-1
		BoonieHat_Dubok,		*,		200,		-1
		BoonieHat_Flecktran,	*,		200,		-1
		CowboyHat_Brown,		*,		200,		-1
		CowboyHat_darkBrown,	*,		200,		-1
		CowboyHat_black,		*,		200,		-1
		CowboyHat_green,		*,		200,		-1
		PilotkaCap,				*,		250,		-1
		OKZKCap_Beige,				*,		250,		-1
		OKZKCap_Green,				*,		250,		-1
		OfficerHat,				*,		250,		-1
		PoliceCap,				*,		250,		-1
		MilitaryBeret_ChDKZ,	*,		260,		-1
		MilitaryBeret_Red,		*,		260,		-1
		MilitaryBeret_UN,		*,		260,		-1
		MilitaryBeret_CDF,		*,		270,		-1
		MilitaryBeret_NZ,		*,		270,		-1
		BeanieHat_Pink,			*,		300,		-1
		BeanieHat_Red,			*,		300,		-1
		BeanieHat_Blue,			*,		300,		-1
		BeanieHat_Grey,			*,		300,		-1
		BeanieHat_Beige,		*,		300,		-1
		BeanieHat_Brown,		*,		300,		-1
		BeanieHat_Black,		*,		310,		-1
		BeanieHat_Green,		*,		320,		-1
		FlatCap_Red,			*,		320,		-1
		FlatCap_Blue,			*,		320,		-1
		FlatCap_BrownCheck,		*,		320,		-1
		FlatCap_GreyCheck,		*,		320,		-1
		FlatCap_Grey,			*,		320,		-1
		FlatCap_Brown,			*,		320,		-1
		FlatCap_Black,			*,		320,		-1
		FlatCap_BlackCheck,		*,		320,		-1
		ZmijovkaCap_Red,		*,		360,		-1
		ZmijovkaCap_Blue,		*,		360,		-1
		ZmijovkaCap_Brown,		*,		360,		-1
		ZmijovkaCap_Black,		*,		370,		-1
		ZmijovkaCap_Green,		*,		380,		-1
		RadarCap_Red,			*,		400,		-1
		RadarCap_Blue,			*,		400,		-1
		RadarCap_Brown,			*,		400,		-1
		RadarCap_Black,			*,		420,		-1
		RadarCap_Green,			*,		450,		-1
		Ushanka_Blue,			*,		500,		-1
		Ushanka_Black,			*,		500,	-1
		Ushanka_Green,			*,		550,		-1
		PetushokHat_Black,			*,		550,		-1
		PetushokHat_Green,			*,		550,		-1
		PetushokHat_Yellow,			*,		550,		-1
		WinterCoif_Black,			*,		550,		-1
		WinterCoif_Blue,			*,		550,		-1
		WinterCoif_Green,			*,		550,		-1
		WinterCoif_Skull,			*,		550,		-1
		NBCHoodGray,			*,		1000,	-1	
		NBCHoodYellow,			*,		1000,	-1

	<Category> Helmets
		ConstructionHelmet_Yellow,*,	300,		-1
		ConstructionHelmet_Orange,*,	300,		-1
		ConstructionHelmet_Red,	*,		300,		-1
		ConstructionHelmet_Blue,*,		300,		-1
		ConstructionHelmet_White,*,		300,		-1
		ConstructionHelmet_Lime,*,		330,		-1
		SkateHelmet_Red,		*,		450,		-1
		SkateHelmet_Blue,		*,		450,		-1
		SkateHelmet_Gray,		*,		450,		-1
		SkateHelmet_Black,		*,		470,		-1
		SkateHelmet_Green,		*,		500,		-1
		HockeyHelmet_Red,		*,		500,		-1
		HockeyHelmet_Blue,		*,		500,		-1
		HockeyHelmet_White,		*,		500,		-1
		HockeyHelmet_Black,		*,		550,		-1
		DirtBikeHelmet_Mouthguard,*,	150,		-1
		DirtBikeHelmet_Visor,	*,		250,		-1
		DirtBikeHelmet_Red,		*,		600,		-1
		DirtBikeHelmet_Blue,	*,		600,		-1
		DirtBikeHelmet_Police,	*,		600,		-1
		DirtBikeHelmet_Green,	*,		600,		-1
		DirtBikeHelmet_Chernarus,*,		600,		-1
		DirtBikeHelmet_Black,	*,		650,		-1
		DirtBikeHelmet_Khaki,	*,		700,		-1
		MotoHelmet_Red,			*,		700,		-1
		MotoHelmet_Blue,		*,		700,		-1
		MotoHelmet_White,		*,		700,		-1
		MotoHelmet_Lime,		*,		700,		-1
		MotoHelmet_Grey,		*,		750,		-1
		MotoHelmet_Black,		*,		750,		-1
		MotoHelmet_Green,		*,		800,		-1
		MotoHelmet_Yellow,		*,		800,		-1
		DarkMotoHelmet_Red,		*,		800,		-1
		DarkMotoHelmet_Blue,	*,		800,		-1
		DarkMotoHelmet_White,	*,		800,		-1
		DarkMotoHelmet_Lime,	*,		800,		-1
		DarkMotoHelmet_Grey,	*,		800,		-1
		DarkMotoHelmet_Black,	*,		850,		-1
		DarkMotoHelmet_Green,	*,		900,		-1
		DarkMotoHelmet_YellowScarred,	*,		900,		-1
		TankerHelmet,			*,		1000,	-1
		ZSh3PilotHelmet,		*,		1300,	-1
		FirefightersHelmet_Yellow,*,	1500,	-1
		FirefightersHelmet_Red,	*,		1500,	-1
		FirefightersHelmet_White,*,		1500,	-1
		Mich2001Helmet,			*,		1500,	-1
		GorkaHelmetVisor,		*,		500,		-1
		GorkaHelmet,			*,		1900,	-1
		Ssh68Helmet,			*,		2500,	-1
		BallisticHelmet_UN,		*,		2500,	-1
		BallisticHelmet_Black,	*,		3000,	-1
		BallisticHelmet_Green,	*,		3500,	-1
		BallisticHelmet_BDU,	*,		3000,	-1
		BallisticHelmet_Desert,	*,		3000,	-1
		BallisticHelmet_Woodland,	*,		3000,	-1
			
		<Category> Knights Clothing
		Chainmail,				*,		750,	-1
		Chainmail_Coif,			*,		750,	-1
		Chainmail_Leggings,		*,		750,	-1
		Chestplate,				*,		750,	-1
		GreatHelm,				*,		550,	-1
		NorseHelm,				*,		750,	-1
		MedievalBoots,			*,		450,	-1
		WitchHood_Chainmail_Black,			*,		550,	-1
		WitchHood_Chainmail_Brown,			*,		550,	-1
		WitchHood_Chainmail_Red,			*,		550,	-1
		

	<Category> Masks
		SurgicalMask,			*,		150,		-1
		BandanaMask_PolkaPattern,*,		250,		-1
		BandanaMask_RedPattern,	*,		250,		-1
		EyeMask_NewYears,		*,		250,		-1
		EyeMask_Red,			*,		250,		-1
		EyeMask_Valentines,		*,		250,		-1
		EyeMask_Yellow,			*,		250,		-1
		EyeMask_Black,			*,		250,		-1
		EyeMask_Blue,			*,		250,		-1
		EyeMask_Christmas,		*,		250,		-1
		EyeMask_Dead,			*,		250,		-1
		MimeMask_Female,		*,		500,		-1
		MimeMask_Male,			*,		500,		-1
		BandanaMask_BlackPattern,*,		250,		-1
		BandanaMask_GreenPattern,*,		300,		-1
		BandanaMask_CamoPattern,*,		350,		-1
		NioshFaceMask,			*,		400,		-1
		HockeyMask,				*,		400,		-1
		//HoxtonMask,			*,		400,		-1
		//WolfMask,				*,		400,		-1
		//DallasMask,			*,		400,		-1
		Balaclava3Holes_Blue,	*,		500,		-1
		Balaclava3Holes_Beige,	*,		500,		-1
		Balaclava3Holes_Black,	*,		550,		-1
		Balaclava3Holes_Green,	*,		600,		-1
		WeldingMask,			*,		700,		-1
		GP5GasMask,				*,		1200,	-1
		AirborneMask,			*,		1200,	-1
		GasMask_Filter,			*,		400,		-1

	//<Category> Shirts
		TShirt_OrangeWhiteStripes,*,	80,		-1
		TShirt_RedBlackStripes,	*,		80,		-1
		TShirt_Red,				*,		80,		-1
		TShirt_Blue,			*,		80,		-1
		TShirt_White,			*,		80,		-1
		TShirt_Grey,			*,		80,		-1
		TShirt_Beige,			*,		80,		-1
		TShirt_Black,			*,		80,		-1
		TShirt_Green,			*,		80,		-1
		TelnyashkaShirt,		*,		140,		-1
		Shirt_RedCheck,			*,		160,		-1
		Shirt_BlueCheckBright,	*,		160,		-1	
		Shirt_BlueCheck,		*,		160,		-1
		Shirt_WhiteCheck,		*,		160,		-1
		Shirt_PlaneBlack,		*,		170,		-1
		Shirt_GreenCheck,		*,		180,		-1
		Blouse_Violet,			*,		160,		-1
		Blouse_Blue,			*,		160,		-1
		Blouse_White,			*,		160,		-1
		Blouse_Green,			*,		180,		-1
		MedicalScrubsShirt_Blue,*,		200,		-1
		MedicalScrubsShirt_White,*,		200,		-1
		MedicalScrubsShirt_Green,*,		200,		-1
		ChernarusSportShirt,	*,		250,		-1
		TacticalShirt_Grey,		*,		360,		-1
		TacticalShirt_Tan,		*,		370,		-1
		TacticalShirt_Black,	*,		380,		-1
		TacticalShirt_Olive,	*,		400,		-1	
		Tshirt_10thAnniversary,	*,		400,		-1

	//<Category> Hoodies & Sweater
		Sweater_Red,			*,		200,		-1
		Sweater_Blue,			*,		200,		-1
		Sweater_Gray,			*,		200,		-1
		Sweater_Green,			*,		250,		-1
		//Hoodie_DrJ0nes,		*,		300,		-1
		//Hoodie_GraffitiTiles,	*,		300,		-1
		Hoodie_Red,				*,		300,		-1
		Hoodie_Blue,			*,		300,		-1
		Hoodie_Grey,			*,		300,		-1
		Hoodie_Brown,			*,		300,		-1
		Hoodie_Black,			*,		300,		-1
		Hoodie_Green,			*,		350,		-1
		
	<Category> Vests
		ReflexVest,				*,		50,			-1
		PoliceVest,				*,		350,		-1
		HuntingVest,			*,		550,		-1
		PressVest_LightBlue,	*,		850,		-1
		PressVest_Blue,			*,		900,		-1
		UKAssVest_Black,		*,		900,		-1
		UKAssVest_Khaki,		*,		900,		-1
		UKAssVest_Olive,		*,		900,		-1
		UKAssVest_Camo,			*,		1000,		-1
		SmershVest,				*,		1500,		-1
		HighCapacityVest_Black,	*,		2000,		-1
		HighCapacityVest_Olive,	*,		2300,		-1
		PlateCarrierVest,		*,		2500,		-1
		PlateCarrierVest_Black,		*,		2500,	-1
		PlateCarrierVest_Camo,		*,		2500,	-1
		PlateCarrierVest_Green,		*,		2500,	-1

	<Category> Jackets & Coats
		LabCoat,				*,		100,		-1
		TrackSuitJacket_Red,	*,		150,		-1
		TrackSuitJacket_LightBlue,*,	150,		-1
		TrackSuitJacket_Blue,	*,		150,		-1
		TrackSuitJacket_Black,	*,		150,		-1
		TrackSuitJacket_Green,	*,		150,		-1
		DenimJacket,			*,		180,		-1
		ManSuit_Blue,			*,		180,		-1
		ManSuit_White,			*,		180,		-1
		ManSuit_LightGrey,		*,		180,		-1
		ManSuit_DarkGrey,		*,		180,		-1
		ManSuit_Beige,			*,		180,		-1
		ManSuit_Brown,			*,		180,		-1
		ManSuit_Black,			*,		180,		-1
		ManSuit_Khaki,			*,		180,		-1
		WomanSuit_Blue,			*,		180,		-1
		WomanSuit_White,		*,		180,		-1
		WomanSuit_LightGrey,	*,		180,		-1
		WomanSuit_DarkGrey,		*,		180,		-1
		WomanSuit_Beige,		*,		180,		-1
		WomanSuit_Brown,		*,		180,		-1
		WomanSuit_Black,		*,		180,		-1
		WomanSuit_Khaki,		*,		180,		-1
		WoolCoat_Red,			*,		180,		-1
		WoolCoat_RedCheck,		*,		180,		-1
		WoolCoat_Blue,			*,		180,		-1
		WoolCoat_BlueCheck,		*,		180,		-1
		WoolCoat_GreyCheck,		*,		180,		-1
		WoolCoat_BrownCheck,	*,		180,		-1
		WoolCoat_Beige,			*,		180,		-1
		WoolCoat_Black,			*,		190,		-1
		WoolCoat_BlackCheck,	*,		190,		-1
		WoolCoat_Green,			*,		200,		-1
		RidersJacket_Black,		*,		200,		-1
		FirefighterJacket_Beige,*,		240,		-1
		FirefighterJacket_Black,*,		240,		-1
		JumpsuitJacket_Red,		*,		260,		-1
		JumpsuitJacket_Blue,	*,		260,		-1
		JumpsuitJacket_Gray,	*,		260,		-1
		JumpsuitJacket_Green,	*,		260,		-1
		BomberJacket_Maroon,	*,		260,		-1
		BomberJacket_SkyBlue,	*,		260,		-1
		BomberJacket_Blue,		*,		260,		-1
		BomberJacket_Grey,		*,		260,		-1
		BomberJacket_Brown,		*,		260,		-1
		BomberJacket_Black,		*,		280,		-1
		BomberJacket_Olive,		*,		300,		-1
		QuiltedJacket_Orange,	*,		260,		-1
		QuiltedJacket_Yellow,	*,		260,		-1
		QuiltedJacket_Red,		*,		260,		-1
		QuiltedJacket_Violet,	*,		260,		-1
		QuiltedJacket_Blue,		*,		260,		-1
		QuiltedJacket_Grey,		*,		260,		-1
		QuiltedJacket_Black,	*,		280,		-1
		QuiltedJacket_Green,	*,		300,		-1
		PrisonUniformJacket,	*,		280,		-1
		PoliceJacketOrel,		*,		320,		-1
		PoliceJacket,			*,		340,		-1
		ParamedicJacket_Crimson,*,		360,		-1
		ParamedicJacket_Blue,	*,		360,		-1
		ParamedicJacket_Green,	*,		360,		-1
		HikingJacket_Red,		*,		360,		-1
		HikingJacket_Blue,		*,		380,		-1
		HikingJacket_Black,		*,		380,		-1
		HikingJacket_Green,		*,		400,		-1
		Raincoat_Pink,			*,		700,		-1
		Raincoat_Orange,		*,		700,		-1
		Raincoat_Yellow,		*,		700,		-1
		Raincoat_Red,			*,		700,		-1
		Raincoat_Blue,			*,		700,		-1
		Raincoat_Black,			*,		800,		-1
		Raincoat_Green,			*,		1000,	-1
		TTsKOJacket_Camo,		*,		1000,	-1
		BDUJacket,				*,		1000,	-1
		HuntingJacket_Winter,	*,		1200,	-1
		HuntingJacket_Brown,	*,		1200,	-1
		HuntingJacket_Autumn,	*,		1200,	-1
		HuntingJacket_Spring,	*,		1200,	-1
		HuntingJacket_Summer,	*,		1200,	-1
		M65Jacket_Tan,			*,		1300,	-1
		M65Jacket_Black,		*,		1300,	-1
		M65Jacket_Khaki,		*,		1300,	-1
		M65Jacket_Olive,		*,		1300,	-1
		GorkaEJacket_Autumn,	*,		1400,	-1
		GorkaEJacket_Flat,		*,		1400,	-1
		GorkaEJacket_PautRev,	*,		1400,	-1
		GorkaEJacket_Summer,	*,		1400,	-1
		USMCJacket_Desert,		*,		1400,	-1
		USMCJacket_Woodland,	*,		1550,	-1
		NBCJacketGray,			*,		2500,	-1
		NBCJacketYellow,		*,		2500,	-1

	//<Category> Skirts & Dresses
		Skirt_Yellow,			*,		300,		-1
		Skirt_Red,				*,		300,		-1
		Skirt_Blue,				*,		300,		-1
		Skirt_White,			*,		300,		-1
		MiniDress_Pink,			*,		350,		-1
		MiniDress_PinkChecker,	*,		350,		-1
		MiniDress_RedChecker,	*,		350,		-1
		MiniDress_BlueChecker,	*,		350,		-1
		MiniDress_BlueWithDots,	*,		350,		-1
		MiniDress_WhiteChecker,	*,		350,		-1
		MiniDress_BrownChecker,	*,		350,		-1
		MiniDress_GreenChecker,	*,		350,		-1
		NurseDress_Blue,		*,		400,		-1
		NurseDress_White,		*,		400,		-1

	<Category> Pants
		MedicalScrubsPants_Blue,*,		100,		-1
		MedicalScrubsPants_White,*,		100,		-1
		MedicalScrubsPants_Green,*,		100,		-1
		TrackSuitPants_Red,		*,		150,		-1
		TrackSuitPants_LightBlue,*,		150,		-1
		TrackSuitPants_Blue,	*,		150,		-1
		TrackSuitPants_Black,	*,		150,		-1
		TrackSuitPants_Green,	*,		150,		-1
		PrisonUniformPants,		*,		170,		-1
		Breeches_Pink,			*,		200,		-1
		Breeches_Red,			*,		200,		-1
		Breeches_Blue,			*,		200,		-1
		Breeches_White,			*,		200,		-1
		Breeches_Beetcheck,		*,		200,		-1
		Breeches_Beige,			*,		210,		-1
		Breeches_Browncheck,	*,		210,		-1
		Breeches_Black,			*,		220,		-1
		Breeches_Blackcheck,	*,		220,		-1
		Breeches_Green,			*,		240,		-1
		SlacksPants_Blue,		*,		200,		-1
		SlacksPants_White,		*,		200,		-1
		SlacksPants_LightGrey,	*,		200,		-1
		SlacksPants_DarkGrey,	*,		200,		-1
		SlacksPants_Beige,		*,		200,		-1
		SlacksPants_Brown,		*,		210,		-1
		SlacksPants_Black,		*,		220,		-1
		SlacksPants_Khaki,		*,		240,		-1
		CanvasPantsMidi_Red,	*,		240,		-1
		CanvasPantsMidi_Violet,	*,		240,		-1
		CanvasPantsMidi_Blue,	*,		240,		-1
		CanvasPantsMidi_Grey,	*,		240,		-1
		CanvasPantsMidi_Beige,	*,		250,		-1	
		CanvasPants_Red,		*,		260,		-1
		CanvasPants_Violet,		*,		260,		-1
		CanvasPants_Blue,		*,		260,		-1
		CanvasPants_Grey,		*,		260,		-1
		CanvasPants_Beige,		*,		280,		-1
		JumpsuitPants_Red,		*,		280,		-1
		JumpsuitPants_Blue,		*,		280,		-1
		JumpsuitPants_Grey,		*,		280,		-1
		JumpsuitPants_Green,	*,		280,		-1
		PolicePants,			*,		280,		-1
		ParamedicPants_Crimson,	*,		350,		-1
		ParamedicPants_Blue,	*,		350,		-1
		ParamedicPants_Green,	*,		350,		-1
		FirefightersPants_Beige,*,		350,		-1
		FirefightersPants_Black,*,		350,		-1
		CargoPants_Blue,		*,		350,		-1
		CargoPants_Grey,		*,		350,		-1
		CargoPants_Beige,		*,		350,		-1
		CargoPants_Black,		*,		350,		-1
		CargoPants_Green,		*,		350,		-1
		ShortJeans_Red,			*,		380,		-1
		ShortJeans_Blue,		*,		380,		-1
		ShortJeans_Darkblue,	*,		380,		-1
		ShortJeans_Brown,		*,		380,		-1
		ShortJeans_Black,		*,		400,		-1
		ShortJeans_Green,		*,		420,		-1
		Jeans_Blue,				*,		400,		-1
		Jeans_BlueDark,			*,		400,		-1
		Jeans_Grey,				*,		400,		-1
		Jeans_Brown,			*,		400,		-1
		Jeans_Black,			*,		420,		-1
		Jeans_Green,			*,		450,		-1	
		TTSKOPants,				*,		550,		-1
		BDUPants,				*,		650,		-1
		USMCPants_Desert,		*,		650,		-1
		USMCPants_Woodland,		*,		700,		-1
		PolicePantsOrel,		*,		700,		-1
		HunterPants_Winter,		*,		900,		-1
		HunterPants_Brown,		*,		1000,	-1
		HunterPants_Spring,		*,		1000,	-1
		HunterPants_Autumn,		*,		1000,	-1
		HunterPants_Summer,		*,		1000,	-1
		GorkaPants_Flat,		*,		1300,	-1
		GorkaPants_PautRev,		*,		1300,	-1
		GorkaPants_Autumn,		*,		1300,	-1
		GorkaPants_Summer,		*,		1300,	-1
		NBCPantsGray,			*,		2000,	-1
		NBCPantsYellow,			*,		2000,	-1
	
	<Category> Shoes & Boots
		AthleticShoes_Blue,		*,		170,		-1
		AthleticShoes_Grey,		*,		200,		-1
		AthleticShoes_Brown,	*,		200,		-1
		AthleticShoes_Black,	*,		230,		-1
		AthleticShoes_Green,	*,		230,		-1
		JoggingShoes_Violet,	*,		300,		-1
		JoggingShoes_Red,		*,		300,		-1
		JoggingShoes_Blue,		*,		300,		-1
		JoggingShoes_White,		*,		300,		-1
		JoggingShoes_Black,		*,		300,		-1
		Sneakers_Red,			*,		300,		-1
		Sneakers_White,			*,		300,		-1
		Sneakers_Gray,			*,		300,		-1
		Sneakers_Black,			*,		310,		-1
		Sneakers_Green,			*,		320,		-1
		DressShoes_White,		*,		320,		-1
		DressShoes_Brown,		*,		350,		-1
		DressShoes_Black,		*,		350,		-1
		DressShoes_Beige,		*,		350,		-1
		DressShoes_Sunburst,	*,		350,		-1
		HikingBootsLow_Blue,	*,		450,		-1
		HikingBootsLow_Grey,	*,		450,		-1
		HikingBootsLow_Beige,	*,		480,		-1
		HikingBootsLow_Black,	*,		500,		-1
		WorkingBoots_Yellow,	*,		550,		-1
		WorkingBoots_Grey,		*,		600,		-1
		WorkingBoots_Beige,		*,		600,		-1
		WorkingBoots_Brown,		*,		600,		-1
		WorkingBoots_Green,		*,		650,		-1
		HikingBoots_Brown,		*,		750,		-1
		HikingBoots_Black,		*,		750,		-1
		CombatBoots_Grey,		*,		800,		-1
		CombatBoots_Beige,		*,		800,		-1
		CombatBoots_Brown,		*,		800,		-1
		CombatBoots_Black,		*,		800,		-1
		CombatBoots_Green,		*,		800,		-1
		JungleBoots_Beige,		*,		850,		-1
		JungleBoots_Brown,		*,		850,		-1
		JungleBoots_Black,		*,		850,		-1
		JungleBoots_Olive,		*,		850,		-1
		JungleBoots_Green,		*,		850,		-1
		Wellies_Grey,			*,		850,		-1
		Wellies_Brown,			*,		850,		-1
		Wellies_Black,			*,		850,		-1
		Wellies_Green,			*,		900,		-1
		TTSKOBoots,				*,		1000,		-1
		MilitaryBoots_Redpunk,	*,		1000,		-1
		MilitaryBoots_Bluerock,	*,		1100,		-1
		MilitaryBoots_Beige,	*,		1100,		-1
		MilitaryBoots_Brown,	*,		1100,		-1
		MilitaryBoots_Black,	*,		1100,		-1
		NBCBootsGray,			*,		1500,		-1
		NBCBootsYellow,			*,		1500,		-1

	//<Category> Ghillie
		// Keep in Mind that Players can also 
		// craft Ghillie Clothing and sell them!
		GhillieAtt_Mossy,		*,		-1,	-1
		GhillieAtt_Tan,			*,		-1,	-1
		GhillieAtt_Woodland,	*,		-1,	-1
		GhillieHood_Mossy,		*,		-1,	-1
		GhillieHood_Tan,		*,		-1,	-1
		GhillieHood_Woodland,	*,		-1,	-1
		GhillieBushrag_Mossy,	*,		-1,	-1
		GhillieBushrag_Tan,		*,		-1,	-1
		GhillieBushrag_Woodland,*,		-1,	-1
		GhillieTop_Mossy,		*,		-1,	-1
		GhillieTop_Tan,			*,		-1,	-1
		GhillieTop_Woodland,	*,		-1,	-1
		GhillieSuit_Mossy,		*,		-1,	-1
		GhillieSuit_Tan,		*,		-1,	-1
		GhillieSuit_Woodland,	*,		-1,	-1
		
	<Category> Fancy Dress
		CrookedNose,					*,		150,	-1
		SantasBeard,					*,		150,	-1
		SantasHat,						*,		350,	-1
		ChristmasHeadband_Antlers,		*,		350,	-1
		ChristmasHeadband_Gingerbread,	*,		350,	-1
		ChristmasHeadband_Trees,		*,		350,	-1
		PumpkinHelmet,					*,		500,	-1
		MorozkoHat,						*,		500,	-1
		WitchHat,						*,		120,	-1
		WitchHood_Black,				*,		120,	-1
		WitchHood_Brown,				*,		120,	-1
		WitchHood_Red,					*,		120,	-1
		EasterEgg,						*,		500,	-1

	<Category> Holster & Pouches
		ChestHolster,				*,		600,		-1
		PlateCarrierHolster,		*,		600,		-1
		PlateCarrierHolster_Black,	*,		600,		-1
		PlateCarrierHolster_Camo,	*,		600,		-1
